REGULATOR	TARGET
YGL162W	YDR508C
YGL162W	YNR002C
YGL162W	YDR192C
YGL162W	YOL123W
YGL162W	YNL270C
YGL162W	YNL117W
YGL162W	YOL019W
YGL162W	YGR046W
YGL162W	YJR024C
YGL162W	VLD1
YGL162W	YDL085C-A
YGL162W	YPL215W
YGL162W	YML043C
YGL162W	YJR150C
YGL162W	YCR060W
YGL162W	YDR222W
YGL162W	YHR094C
YGL162W	YGR052W
YGL162W	YKL120W
YGL162W	YBL055C
YGL162W	YGR117C
YGL162W	YGR118W
YGL162W	YNL065W
YGL162W	YLR312C
YGL162W	YJL088W
YGL162W	YDR525W-A
YGL162W	YEL046C
YGL162W	YER015W
YGL162W	YFR017C
YGL162W	YGR260W
YGL162W	YKR072C
YGL162W	YHR081W
YGL162W	YGR086C
YGL162W	YNL269W
YGL162W	YFL014W
YGL162W	YPL230W
YGL162W	YBR094W
YGL162W	YJL026W
YGL162W	ROF1
YGL162W	YLR377C
YGL162W	YDR061W
YGL162W	YPR192W
YGL162W	YMR107W
YGL162W	YCR024C-A
YGL162W	YMR202W
YGL162W	YHR140W
YGL162W	YNL066W
YGL162W	YLR109W
YGL162W	YBL042C
YGL162W	YOR161C
YGL162W	YFL052W
YGL162W	YLR312W-A
YGL162W	YMR136W
YGL162W	YLL028W
YGL162W	YLR056W
YGL162W	YOL124C
YGL162W	YOL126C
YGL162W	YIL056W
YGL162W	YLR110C
YGL162W	YGR288W
YGL162W	YBL029W
YGL162W	YNL073W
YGL162W	YBL043W
YGL162W	YKL201C
YGL162W	YGR161C
YGL162W	YMR291W
YGL162W	YKR042W
YGL162W	YNL074C
YGL162W	YML091C
YGL162W	YPR036W-A
YGL162W	YHL027W
YGL162W	YMR243C
YGL162W	YPR009W
YGL162W	YGL202W
YGL162W	YPR149W
YGL162W	YLR141W
YGL162W	YML042W
YGL162W	YCL025C
YGL162W	YNR013C
YGL162W	YLR328W
YGL162W	YMR081C
YGL162W	YDR216W
YGL162W	YDR536W
YGL162W	YBR114W
YGL162W	YDL138W
YGL162W	YDR011W
YGL162W	YNL180C
YGL162W	YEL032W
YGL162W	YER053C
YGL162W	YEL070W
YGL162W	YDR527W
YGL162W	YBR082C
YGL162W	YBR068C
YGL162W	YDR096W
YGL162W	YBR183W
YGL162W	YHR087W
YGL162W	YKL044W
YGL162W	YDR041W
YGL162W	YEL007W
YGL162W	YOR062C
YGL162W	YIL057C
YGL162W	YNL144C
YGL162W	YKR097W
YGL162W	YPL088W
YGL162W	YDR343C
YGL162W	YPR148C
YGL162W	YMR016C
YGL162W	YHR092C
YGL162W	YER053C-A
YGL162W	YGR161W-C
YGL162W	YPL177C
YGL162W	YER146W
YGL162W	YML008C
YGL162W	YKR009C
YGL162W	YLR153C
YGL162W	YML009C
YGL162W	YDL214C
YGL162W	YFR034C
YGL162W	YMR058W
YGL162W	YGL040C
YGL162W	YJR127C
YGL162W	YOR375C
YGL162W	YDL174C
YGL162W	YER001W
YGL162W	YDR077W
YGL162W	YMR070W
YGL162W	YGR112W
YGL162W	YLR304C
YGL162W	YER062C
YGL162W	YGR044C
YGL162W	YDL085W
YGL162W	YLR300W
YGL162W	YLR237W
YGL162W	YDR072C
YGL162W	YIL013C
YGL162W	YGR175C
YGL162W	YAL060W
YGL162W	YOR071C
YGL162W	YMR135C
YGL162W	YGL037C
YGL162W	YKL096W-A
YGL162W	YFL022C
YGL162W	YMR281W
YGL162W	YGR243W
YGL162W	YGR067C
YGL162W	YDR073W
YGL162W	YHR139C
YGL162W	YGL162W
YGL162W	YOR091W
YGL162W	YIL011W
YGL162W	YBL054W
YGL162W	YNL111C
YGL162W	YMR244W
YGL162W	YFL016C
YGL162W	YGL209W
YGL162W	YOR092W
YGL162W	YOL084W
YGL162W	YPL089C
YGL162W	YGR258C
YGL162W	YPL024W
YGL162W	YMR182C
YGL162W	YDR246W
YGL162W	YML082W
YGL162W	YDR044W
YGL162W	YLR108C
YGL162W	YJL133W
YGL162W	YBR067C
YGL162W	YHR049W
YGL162W	YNL118C
YGL162W	YJL107C
YGL162W	YPL137C
YGL162W	YOR136W
YGL162W	YMR251W-A
YGL162W	YNL067W
YGL162W	YGL145W
YGL162W	YOL108C
YGL162W	YGL055W
YGL162W	YKR075C
YGL162W	YNR014W
YGL162W	YIL117C
YGL162W	YGL188C-A
YGL162W	YGL056C
YGL162W	YLR112W
YGL162W	YDR524C-B
YGL162W	YOR107W
YGL162W	YML007W
YGL162W	YKL188C
YGL162W	YIL118W
YGL162W	YDR260C
YGL162W	YEL069C
YGL162W	YOR315W
YGL162W	YDL222C
YGL162W	YKR074W
YGL162W	YBR083W
YGL162W	YDL139C
YGL162W	YMR108W
YGL162W	YJR046W
YGL162W	YGR241C
YGL162W	YPR013C
YGL162W	YER011W
YGL162W	YDR277C
YGL162W	YEL044W
YGL162W	YDL047W
YGL162W	YOR032C
YGL162W	YKL146W
YGL162W	YOR230W
YGL162W	YJL105W
YGL162W	YLR401C
YGL162W	YCL024W
YGL162W	YLR342W
YGL162W	YOR010C
YGL162W	YJL190C
YGL162W	YDR345C
YGL162W	YMR069W
YGL162W	YOR028C
YGL162W	YPL058C
YGL162W	YJR025C
YGL162W	YHR071W
YGL162W	YOL109W
YGL162W	YGL064C
YGL162W	YKL148C
YGL162W	YGR287C
YGL162W	YLR142W
YGL162W	YLR154C
YGL162W	YCR008W
YGL162W	YHR033W
YGL162W	YPR063C
YGL162W	YNL234W
YGL162W	YBL045C
YGL162W	YPL061W
YGL162W	YER064C
YGL162W	YLR332W
YGL162W	YOL125W
YGL162W	YBL064C
YGL162W	YKR093W
YGL162W	YLR254C
YGL162W	YDR384C
YGL162W	YGR106C
YGL162W	YMR037C
YGL162W	YEL034W
YGL162W	YML088W
YGL162W	YLR055C
YGL162W	YGR055W
YGL162W	YJL153C
YGL162W	YOL052C-A
YGL162W	YBL041W
YGL162W	YGL063W
YGL162W	YLR403W
YGL162W	YNL160W
YGL162W	YFR053C
YGL162W	YGL036W
YGL162W	YGL035C
YGL162W	YDL213C
YGL162W	YMR290C
YGL162W	YLL027W
YHR178W	YJL216C
YHR178W	YFR033C
YHR178W	YJR047C
YHR178W	YML057W
YHR178W	YLR375W
YHR178W	YPL148C
YHR178W	YKR037C
YHR178W	YKL086W
YHR178W	YOR313C
YHR178W	YBL101C
YHR178W	YBR159W
YHR178W	HTC1
YHR178W	NCW1
YHR178W	YDR441C
YHR178W	YOR131C
YHR178W	YNL274C
YHR178W	YPR015C
YHR178W	YNL273W
YHR178W	YOL006C
YHR178W	YOR145C
YHR178W	YOR303W
YHR178W	YDR111C
YHR178W	YDR379C-A
YHR178W	YDR510W
YHR178W	YGL163C
YHR178W	YDR234W
YHR178W	YGR035C
YHR178W	YGL012W
YHR178W	YIL053W
YHR178W	YOR178C
YHR178W	YBL029C-A
YHR178W	YAL008W
YHR178W	YHL044W
YHR178W	YBR203W
YHR178W	YKL109W
YHR178W	YDR158W
YHR178W	YFL054C
YHR178W	YGR279C
YHR178W	YML081C-A
YHR178W	YDR091C
YHR178W	YLR113W
YHR178W	YAL007C
YHR178W	YMR315W
YHR178W	YIR032C
YHR178W	YLR411W
YHR178W	YOR086C
YHR178W	YMR056C
YHR178W	YOL121C
YHR178W	YJR095W
YHR178W	YDR262W
YHR178W	YIR003W
YHR178W	YGR227W
YHR178W	YML081W
YHR178W	YIL159W
YHR178W	YER024W
YHR178W	YDR247W
YHR178W	YLR438C-A
YHR178W	YGR255C
YHR178W	YDR259C
YHR178W	YEL027W
YHR178W	YMR314W
YHR178W	YDL048C
YHR178W	YGL196W
YHR178W	YNR019W
YHR178W	ILT1
YHR178W	YBR153W
YHR178W	YNL055C
YHR178W	YOL110W
YHR178W	YPR180W
YHR178W	YPL026C
YHR178W	YOR273C
YHR178W	YCR010C
YHR178W	YNR017W
YHR178W	YGL008C
YHR178W	YML075C
YHR178W	YLR091W
YHR178W	YPR031W
YHR178W	YAR035W
YHR178W	YLR023C
YHR178W	YFR018C
YHR178W	YDR385W
YHR178W	YNR029C
YHR178W	YKL032C
YHR178W	YGL133W
YHR178W	YBR037C
YHR178W	YPL004C
YHR178W	YGR280C
YHR178W	YKL069W
YHR178W	YGR122W
YHR178W	YMR304W
YHR178W	YCR061W
YHR178W	YGR256W
YHR178W	YLR115W
YHR178W	YML059C
YHR178W	YMR010W
YHR178W	YLR413W
YHR178W	YNL284C
YHR178W	YHR183W
YHR178W	YOR357C
YHR178W	YHR127W
YHR178W	YKR036C
YHR178W	YIL119C
YHR178W	YOR179C
YHR178W	YDR055W
YHR178W	YJL151C
YHR178W	YKR069W
YHR178W	YFL030W
YHR178W	YDL195W
YHR178W	YOR076C
YHR178W	YLR437C
YHR178W	YMR145C
YHR178W	YPL218W
YHR178W	YNL231C
YHR178W	YKL217W
YHR178W	YKL085W
YHR178W	YOR266W
YHR178W	YGR155W
YHR178W	YKL029C
YHR178W	YMR015C
YHR178W	YNL190W
YHR178W	YJR105W
YHR178W	YPL017C
YHR178W	YPL135W
YHR178W	YEL036C
YHR178W	YGL255W
YHR178W	SOA1
YHR178W	YGR289C
YHR178W	YDL182W
YHR178W	YGL178W
YHR178W	YMR039C
YHR178W	YOR317W
YHR178W	YKL007W
YHR178W	YGR254W
YHR178W	YKL063C
YHR178W	YBL063W
YHR178W	YJL116C
YHR178W	YOR180C
YHR178W	YJR148W
YHR178W	YBR072W
YHR178W	YDR342C
YHR178W	YBR009C
YHR178W	YER063W
YHR178W	YHR200W
YHR178W	YER143W
YHR178W	YOL122C
YHR178W	YMR123W
YHR178W	YMR205C
YHR178W	YDL049C
YHR178W	YHR113W
YHR178W	YHR007C
YHR178W	YGL045W
YHR178W	YOL011W
YHR178W	YLL052C
YHR178W	YMR173W
YHR178W	YNL219C
YHR178W	YKR041W
YHR178W	YPR122W
YHR178W	YNL031C
YHR178W	YMR121C
YHR178W	YLR174W
YHR178W	YGR024C
YHR178W	YKL064W
YHR178W	YMR199W
YHR178W	YPR160W
YHR178W	YMR011W
YHR178W	YOL021C
YHR178W	YPR065W
YHR178W	YDR156W
YHR178W	YJL089W
YHR178W	YHR050W
YHR178W	YDR487C
YHR178W	YOR228C
YHR178W	YOR181W
YHR178W	YMR149W
YHR178W	YOR348C
YHR178W	YJL045W
YHR178W	YAL003W
YHR178W	YPL111W
YHR178W	YGR229C
YHR178W	YGR281W
YHR178W	YGL253W
YHR178W	YOR374W
YHR178W	YBR096W
YHR178W	YLR256W
YHR178W	YER095W
YHR178W	YGL221C
YHR178W	YOR319W
YHR178W	YGR180C
YHR178W	YDR346C
YHR178W	YKL173W
YHR178W	YBL002W
YHR178W	YIL122W
YHR178W	YNL169C
YHR178W	YLL041C
YHR178W	YDR508C
YHR178W	YIR042C
YHR178W	YML116W
YHR178W	YFR049W
YHR178W	YLR150W
YHR178W	YKL182W
YHR178W	YER075C
YHR178W	YMR075W
YHR178W	YGR046W
YHR178W	YMR195W
YHR178W	YJR024C
YHR178W	YJL076W
YHR178W	YCR091W
YHR178W	YLL019C
YHR178W	YPR179C
YHR178W	YBR210W
YHR178W	YML058W-A
YHR178W	YDR127W
YHR178W	YKL038W
YHR178W	YML043C
YHR178W	YDR276C
YHR178W	YER177W
YHR178W	YPR035W
YHR178W	YPL171C
YHR178W	YOL059W
YHR178W	YMR006C
YHR178W	YDL198C
YHR178W	YDR222W
YHR178W	YLL031C
YHR178W	LDO16
YHR178W	YKL120W
YHR178W	YBR095C
YHR178W	YOR369C
YHR178W	YJL115W
YHR178W	YLR436C
YHR178W	YGR157W
YHR178W	YER055C
YHR178W	YHL024W
YHR178W	YJL042W
YHR178W	YMR181C
YHR178W	YDR092W
YHR178W	YFR017C
YHR178W	YBR149W
YHR178W	YIL047C
YHR178W	YGR086C
YHR178W	YJL048C
YHR178W	YMR074C
YHR178W	YFL014W
YHR178W	YMR220W
YHR178W	YJR094W-A
YHR178W	YPL230W
YHR178W	YLR073C
YHR178W	YBR094W
YHR178W	YHR162W
YHR178W	YIR031C
YHR178W	YLR377C
YHR178W	YDL246C
YHR178W	YDR061W
YHR178W	YMR107W
YHR178W	YNL030W
YHR178W	YCR024C-A
YHR178W	YOL010W
YHR178W	YHR122W
YHR178W	YHR121W
YHR178W	YNL066W
YHR178W	YMR096W
YHR178W	YOR161C
YHR178W	YFL052W
YHR178W	YOR047C
YHR178W	YGL013C
YHR178W	YLL028W
YHR178W	YPL057C
YHR178W	YOR342C
YHR178W	YOR265W
YHR178W	YLR056W
YHR178W	YOL111C
YHR178W	YOL126C
YHR178W	YOR354C
YHR178W	YJL078C
YHR178W	YMR032W
YHR178W	YOL020W
YHR178W	YLR308W
YHR178W	YOR193W
YHR178W	YIL056W
YHR178W	YBR291C
YHR178W	YIL133C
YHR178W	YML058W
YHR178W	YNR030W
YHR178W	YER142C
YHR178W	YGR288W
YHR178W	YBL029W
YHR178W	YMR280C
YHR178W	YOL002C
YHR178W	YOR087W
YHR178W	YMR266W
YHR178W	YDL125C
YHR178W	YEL020W-A
YHR178W	YER023W
YHR178W	YOR119C
YHR178W	YPR174C
YHR178W	YOR066W
YHR178W	YKL174C
YHR178W	YBL043W
YHR178W	YKL201C
YHR178W	YPL055C
YHR178W	YMR291W
YHR178W	YKR042W
YHR178W	YPL054W
YHR178W	YML091C
YHR178W	YPR036W-A
YHR178W	YPL170W
YHR178W	YHL027W
YHR178W	YGL071W
YHR178W	YPR149W
YHR178W	YNR016C
YHR178W	YGR121C
YHR178W	YML042W
YHR178W	YAR002W
YHR178W	YDR054C
YHR178W	YJL012C
YHR178W	YER054C
YHR178W	YLL029W
YHR178W	YLR307C-A
YHR178W	YMR265C
YHR178W	YBR151W
YHR178W	YMR055C
YHR178W	YGR043C
YHR178W	YDR216W
YHR178W	YDR536W
YHR178W	YKL008C
YHR178W	YMR040W
YHR178W	YDL138W
YHR178W	YPR061C
YHR178W	YLR074C
YHR178W	YNL218W
YHR178W	YER012W
YHR178W	YDR208W
YHR178W	YDR011W
YHR178W	YHR199C-A
YHR178W	YLR042C
YHR178W	YLR298C
YHR178W	YBL003C
YHR178W	YNL180C
YHR178W	YOR144C
YHR178W	YEL060C
YHR178W	YHR128W
YHR178W	YLL012W
YHR178W	YDR233C
YHR178W	YDR406W
YHR178W	YOL142W
YHR178W	YEL070W
YHR178W	MCO76
YHR178W	YPL248C
YHR178W	YPR028W
YHR178W	YGL009C
YHR178W	YDR096W
YHR178W	YDR281C
YHR178W	YLR120C
YHR178W	YHR087W
YHR178W	YKL044W
YHR178W	YNL155W
YHR178W	YDR347W
YHR178W	YDR041W
YHR178W	YEL007W
YHR178W	YGL062W
YHR178W	YFR050C
YHR178W	YLR075W
YHR178W	YMR303C
YHR178W	YPR175W
YHR178W	YIL057C
YHR178W	YKL187C
YHR178W	YIR015W
YHR178W	YNL144C
YHR178W	YOR316C
YHR178W	YKR097W
YHR178W	YMR089C
YHR178W	YDR343C
YHR178W	YPR148C
YHR178W	YMR016C
YHR178W	YIL125W
YHR178W	YOR120W
YHR178W	YEL059C-A
YHR178W	YOR382W
YHR178W	YHR092C
YHR178W	YOR182C
